TIME,SPEED
23:04:33,0
23:04:34,0
23:04:35,0
23:04:36,0
23:04:37,0
23:04:38,0
23:04:39,3
23:04:40,4
23:04:41,3
23:04:42,6
23:04:43,5
23:04:44,4
23:04:45,4
23:04:46,4
23:04:47,7
23:04:48,11
23:04:49,13
23:04:50,14
23:04:51,12
23:04:52,9
23:04:53,10
23:04:54,10
23:04:55,10
23:04:56,11
23:04:57,10
23:04:58,14
23:04:59,15
23:05:00,18
23:05:01,19
23:05:02,23
23:05:03,26
23:05:04,28
23:05:05,31
23:05:06,31
23:05:07,31
23:05:08,34
23:05:09,37
23:05:10,36
23:05:11,39
23:05:12,43
23:05:13,45
23:05:14,46
23:05:15,49
23:05:16,54
23:05:17,58
23:05:18,59
23:05:19,61
23:05:20,61
23:05:21,61
23:05:22,58
23:05:23,60
23:05:24,60
23:05:25,61
23:05:26,63
23:05:27,58
23:05:28,53
23:05:29,43
23:05:30,39
23:05:31,34
23:05:32,26
23:05:33,29
23:05:34,32
23:05:35,33
23:05:36,37
23:05:37,42
23:05:38,46
23:05:39,51
23:05:40,51
23:05:41,52
23:05:42,51
23:05:43,49
23:05:44,56
23:05:45,59
23:05:46,62
23:05:47,65
23:05:48,69
23:05:49,72
23:05:50,76
23:05:51,81
23:05:52,84
23:05:53,77
23:05:54,75
23:05:55,75
23:05:56,72
23:05:57,72
23:05:58,75
23:05:59,78
23:06:00,72
23:06:01,65
23:06:02,62
23:06:03,54
23:06:04,53
23:06:05,46
23:06:06,38
23:06:07,31
23:06:08,24
23:06:09,17
23:06:10,12
23:06:11,12
23:06:12,8
23:06:13,4
23:06:14,1
23:06:15,0
23:06:16,0
23:06:17,6
23:06:18,18
23:06:19,26
23:06:20,34
23:06:21,39
23:06:22,48
23:06:23,56
23:06:24,61
23:06:25,63
23:06:26,69
23:06:27,74
23:06:28,79
23:06:29,82
23:06:30,85
23:06:31,82
23:06:32,81
23:06:33,85
23:06:34,88
23:06:35,89
23:06:36,89
23:06:37,91
23:06:38,94
23:06:39,93
23:06:40,91
23:06:41,95
23:06:42,86
23:06:43,75
23:06:44,68
23:06:45,61
23:06:46,58
23:06:47,52
23:06:48,49
23:06:49,43
23:06:50,37
23:06:51,32
23:06:52,31
23:06:53,28
23:06:54,23
23:06:55,17
23:06:56,14
23:06:57,11
23:06:58,6
23:06:59,4
23:07:00,0
23:07:01,0
23:07:02,0
23:07:03,0
23:07:04,0
23:07:05,0
